10 		1651 	1588 	1539 	1526 	1446 	1410 	1399 	1446 	1509 	1583 	1263 	1336 	1367 	1232 	1330 	1665 	2404 	1885 	2021 	2317 	2276 	3571 	4817 	6463 	6514 	6630 	6867 	7387 	6635 	5516 	4143 	3653 	3472 	4590 	4492 	4818 	5732 	4733 	5217 	6084 	4764 	3841 	3052 	2468 	2281 	2127 	1929 	1732 	1608 	1486 	1376 	1299 
11 		68 	68 	68 	68 	54 	54 	54 	54 	46 	46 	46 	46 	46 	39 	39 	39 	39 	50 	50 	50 	50 	111 	111 	111 	111 	111 	206 	206 	206 	206 	497 	497 	497 	497 	212 	212 	212 	212 	212 	162 	162 	162 	162 	92 	92 	92 	92 	75 	75 	75 	75 	75 
12 		1719 	1656 	1607 	1594 	1500 	1464 	1453 	1501 	1555 	1629 	1309 	1381 	1413 	1271 	1369 	1704 	2443 	1935 	2070 	2367 	2326 	3682 	4928 	6574 	6625 	6741 	7073 	7593 	6841 	5722 	4640 	4150 	3969 	5087 	4704 	5030 	5944 	4945 	5429 	6246 	4926 	4003 	3214 	2560 	2372 	2218 	2021 	1807 	1683 	1561 	1451 	1374 
13 		2062 	2102 	2148 	2244 	2134 	2023 	1841 	1874 	1944 	2042 	1849 	1850 	1832 	1710 	1654 	1898 	2561 	2074 	2315 	2746 	2169 	3120 	3981 	5137 	6038 	6449 	6670 	7641 	6708 	5247 	4840 	4523 	4343 	4685 	4240 	4387 	4916 	4651 	5166 	5861 	4712 	3883 	3178 	2603 	2395 	2240 	2058 	1846 	1748 	1661 	1496 	1374 
14 		411 	411 	411 	411 	225 	225 	225 	225 	610 	610 	610 	610 	610 	497 	497 	497 	497 	69 	69 	69 	69 	3371 	3371 	3371 	3371 	3371 	2584 	2584 	2584 	2584 	2463 	2463 	2463 	2463 	616 	616 	616 	616 	616 	1715 	1715 	1715 	1715 	1187 	1187 	1187 	1187 	783 	783 	783 	783 	783 
15 		472 	472 	472 	472 	278 	278 	278 	278 	649 	649 	649 	649 	649 	517 	517 	517 	517 	186 	186 	186 	186 	3595 	3595 	3595 	3595 	3595 	3066 	3066 	3066 	3066 	3036 	3036 	3036 	3036 	1193 	1193 	1193 	1193 	1193 	2020 	2020 	2020 	2020 	1533 	1533 	1533 	1533 	918 	918 	918 	918 	918 
16 		489 	489 	489 	489 	289 	289 	289 	289 	657 	657 	657 	657 	657 	524 	524 	524 	524 	201 	201 	201 	201 	3627 	3627 	3627 	3627 	3627 	3223 	3223 	3223 	3223 	3165 	3165 	3165 	3165 	1313 	1313 	1313 	1313 	1313 	2133 	2133 	2133 	2133 	1594 	1594 	1594 	1594 	954 	954 	954 	954 	954 
17 		20 	20 	20 	20 	11 	11 	11 	11 	11 	11 	11 	11 	11 	15 	15 	15 	15 	21 	21 	21 	21 	52 	52 	52 	52 	52 	84 	84 	84 	84 	55 	55 	55 	55 	63 	63 	63 	63 	63 	38 	38 	38 	38 	26 	26 	26 	26 	17 	17 	17 	17 	17 
18 		411 	411 	411 	411 	225 	225 	225 	225 	610 	610 	610 	610 	610 	497 	497 	497 	497 	69 	69 	69 	69 	3371 	3371 	3371 	3371 	3371 	2584 	2584 	2584 	2584 	2463 	2463 	2463 	2463 	616 	616 	616 	616 	616 	1715 	1715 	1715 	1715 	1187 	1187 	1187 	1187 	783 	783 	783 	783 	783 
19 		411 	411 	411 	411 	225 	225 	225 	225 	610 	610 	610 	610 	610 	497 	497 	497 	497 	69 	69 	69 	69 	3771 	3771 	3771 	3771 	3771 	2584 	2584 	2584 	2584 	2463 	2463 	2463 	2463 	616 	616 	616 	616 	616 	1715 	1715 	1715 	1715 	1187 	1187 	1187 	1187 	783 	783 	783 	783 	783 
20 		41 	41 	41 	41 	24 	24 	24 	24 	16 	16 	16 	16 	16 	13 	13 	13 	13 	75 	75 	75 	75 	143 	143 	143 	143 	143 	308 	308 	308 	308 	366 	366 	366 	366 	369 	369 	369 	369 	369 	195 	195 	195 	195 	273 	273 	273 	273 	86 	86 	86 	86 	86 
21 		19 	19 	19 	19 	22 	22 	22 	22 	19 	19 	19 	19 	19 	18 	18 	18 	18 	40 	40 	40 	40 	72 	72 	72 	72 	72 	73 	73 	73 	73 	70 	70 	70 	70 	59 	59 	59 	59 	59 	47 	47 	47 	47 	28 	28 	28 	28 	20 	20 	20 	20 	20 
22 		93 	93 	93 	93 	77 	77 	77 	77 	64 	64 	64 	64 	64 	76 	76 	76 	76 	57 	57 	57 	57 	170 	170 	170 	170 	170 	321 	321 	321 	321 	312 	312 	312 	312 	266 	266 	266 	266 	266 	220 	220 	220 	220 	115 	115 	115 	115 	79 	79 	79 	79 	79 
23 		90 	90 	90 	90 	64 	64 	64 	64 	42 	42 	42 	42 	42 	82 	82 	82 	82 	70 	70 	70 	70 	193 	193 	193 	193 	193 	204 	204 	204 	204 	321 	321 	321 	321 	262 	262 	262 	262 	262 	222 	222 	222 	222 	117 	117 	117 	117 	60 	60 	60 	60 	60 
24 		96 	96 	96 	96 	72 	72 	72 	72 	66 	66 	66 	66 	66 	76 	76 	76 	76 	85 	85 	85 	85 	112 	112 	112 	112 	112 	118 	118 	118 	118 	51 	51 	51 	51 	47 	47 	47 	47 	47 	38 	38 	38 	38 	23 	23 	23 	23 	31 	31 	31 	31 	31 
25 		104 	104 	104 	104 	71 	71 	71 	71 	56 	56 	56 	56 	56 	65 	65 	65 	65 	92 	92 	92 	92 	103 	103 	103 	103 	103 	116 	116 	116 	116 	55 	55 	55 	55 	59 	59 	59 	59 	59 	52 	52 	52 	52 	39 	39 	39 	39 	37 	37 	37 	37 	37 
