10		1438 	1438 	1438 	1438 	1197 	1197 	1197 	1197 	1124 	1124 	1124 	1124 	1124 	1238 	1238 	1238 	1238 	1871 	1871 	1871 	1871 	4695 	4695 	4695 	4695 	4695 	7051 	7051 	7051 	7051 	8712 	8712 	8712 	8712 	6776 	6776 	6776 	6776 	6776 	5240 	5240 	5240 	5240 	2839 	2839 	2839 	2839 	1665 	1665 	1665 	1665 	1665 
11		73 	73 	73 	73 	62 	62 	62 	62 	53 	53 	53 	53 	53 	50 	50 	50 	50 	82 	82 	82 	82 	179 	179 	179 	179 	179 	184 	184 	184 	184 	560 	560 	560 	560 	436 	436 	436 	436 	436 	225 	225 	225 	225 	144 	144 	144 	144 	97 	97 	97 	97 	97 
12		1716 	1716 	1716 	1716 	1435 	1435 	1435 	1435 	1256 	1256 	1256 	1256 	1256 	1377 	1377 	1377 	1377 	2062 	2062 	2062 	2062 	5249 	5249 	5249 	5249 	5249 	7311 	7311 	7311 	7311 	9870 	9870 	9870 	9870 	7806 	7806 	7806 	7806 	7806 	6085 	6085 	6085 	6085 	3417 	3417 	3417 	3417 	2057 	2057 	2057 	2057 	2057 
13		1826 	1826 	1826 	1826 	1545 	1545 	1545 	1545 	1366 	1366 	1366 	1366 	1366 	1487 	1487 	1487 	1487 	2172 	2172 	2172 	2172 	5376 	5376 	5376 	5376 	5376 	7444 	7444 	7444 	7444 	10033 	10033 	10033 	10033 	7943 	7943 	7943 	7943 	7943 	6215 	6215 	6215 	6215 	3534 	3534 	3534 	3534 	2167 	2167 	2167 	2167 	2167 
14		68 	68 	68 	68 	47 	47 	47 	47 	32 	32 	32 	32 	32 	28 	28 	28 	28 	52 	52 	52 	52 	160 	160 	160 	160 	160 	329 	329 	329 	329 	613 	613 	613 	613 	302 	302 	302 	302 	302 	172 	172 	172 	172 	107 	107 	107 	107 	64 	64 	64 	64 	64 
15		107 	107 	107 	107 	73 	73 	73 	73 	64 	64 	64 	64 	64 	66 	66 	66 	66 	127 	127 	127 	127 	250 	250 	250 	250 	250 	515 	515 	515 	515 	960 	960 	960 	960 	473 	473 	473 	473 	473 	269 	269 	269 	269 	111 	111 	111 	111 	78 	78 	78 	78 	78 
16		156 	156 	156 	156 	102 	102 	102 	102 	83 	83 	83 	83 	83 	81 	81 	81 	81 	150 	150 	150 	150 	358 	358 	358 	358 	358 	836 	836 	836 	836 	1583 	1583 	1583 	1583 	771 	771 	771 	771 	771 	419 	419 	419 	419 	196 	196 	196 	196 	132 	132 	132 	132 	132 
17		20 	20 	20 	20 	28 	28 	28 	28 	31 	31 	31 	31 	31 	64 	64 	64 	64 	203 	203 	203 	203 	249 	249 	249 	249 	249 	341 	341 	341 	341 	248 	248 	248 	248 	181 	181 	181 	181 	181 	111 	111 	111 	111 	82 	82 	82 	82 	23 	23 	23 	23 	23 
18		395 	395 	395 	395 	278 	278 	278 	278 	227 	227 	227 	227 	227 	253 	253 	253 	253 	589 	589 	589 	589 	1139 	1139 	1139 	1139 	1139 	2306 	2306 	2306 	2306 	3990 	3990 	3990 	3990 	1984 	1984 	1984 	1984 	1984 	1104 	1104 	1104 	1104 	547 	547 	547 	547 	338 	338 	338 	338 	338 
19		34 	34 	34 	34 	32 	32 	32 	32 	52 	52 	52 	52 	52 	32 	32 	32 	32 	114 	114 	114 	114 	182 	182 	182 	182 	182 	244 	244 	244 	244 	112 	112 	112 	112 	124 	124 	124 	124 	124 	102 	102 	102 	102 	56 	56 	56 	56 	35 	35 	35 	35 	35 
